date,Kota,Marble,Granite,Lokhand,Lokhand-Stock,Kapachi,Kapachi-Stock,Cement,Cement-Stock1,Cement-Stock2,Chokatha,Chokhatha-Stock,Patra,Wall,Floor,Sanatairy
08-09-2023,8500,4500,4500,4500,9,7000,11,13000,10,20,3500,10,3500,4500,4000,3500
09-09-2023,103320,23371,8392,7433,10,13830,12,12951,16,16,10789,19,11454,12080,8300,11800
10-09-2023,27442,17943,17136,13000,20,24405,27,19351,24,37,27373,21,31813,12716,9166,21645
11-09-2023,12136,5158,1154,5248,10,14233,10,8558,15,17,1365,6,9300,500,5000,7900
12-09-2023,13496,15224,20967,23242,18,19048,13,25340,11,19,22833,28,19404,12718,9103,22422
13-09-2023,15378,15138,14162,15541,13,15485,9,13887,13,15,11884,18,64563,16126,13503,6234
2023-09-14,21498.0,19450.0,20482.0,22900.0,10.0,22296.0,12.0,19400.0,19.0,21.0,30380.0,20.0,28498.0,18500.0,9510.0,14950.0
2023-09-15,16305.0,19022.0,18350.0,21300.0,19.0,8850.0,11.0,21010.0,15.0,23.0,15600.0,22.0,14857.0,21305.0,15879.0,11997.0
2023-09-16,32248,13087,14764,12596,10,5454,11,20216,13,19,10112,10,9248,14726,5390,17085
